id;name;size;monster_type;alignment;ac;hp;strength;str_mod;dex;dex_mod;con;con_mod;intel;int_mod;wis;wis_mod;cha;cha_mod;senses;languages;cr;str_save;dex_save;con_save;int_save;wis_save;cha_save;speed;swim;fly;climb;burrow;number_legendary_actions;history;perception;stealth;persuasion;insight;deception;arcana;religion;acrobatics;athletics;intimidation;image_source;image_name
88;Drow;Medium;Humanoid (elf);neutral evil;15;13;10;0;14;2;10;0;11;0;11;0;12;1;Darkvision 120 Ft., passive Perception 12;Elvish, Undercommon;1/4;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/drow.jpg;drow.jpg
89;Druid;Medium;Humanoid (any race);any alignment;11;27;10;0;12;1;13;1;12;1;15;2;11;0;passive Perception 14;Druidic Plus Any Two Languages;2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/druid.jpg;druid.jpg
90;Dryad;Medium;Fey;neutral;11;22;10;0;12;1;11;0;14;2;15;2;18;4;Darkvision 60 Ft., passive Perception 14;Elvish, Sylvan;1;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/dryad.jpg;dryad.jpg
91;Duergar;Medium;Humanoid (dwarf);lawful evil;16;26;14;2;11;0;14;2;11;0;10;0;9;-1;Darkvision 120 Ft., passive Perception 10;Dwarvish, Undercommon;1;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/duergar.jpg;duergar.jpg
92;Dust Mephit;Small;Elemental;neutral evil;12;17;5;-3;14;2;10;0;9;-1;11;0;10;0;Darkvision 60 Ft., passive Perception 12;Auran, Terran;1/2;0;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/dust-mephit.jpg;dust-mephit.jpg
93;Eagle;Small;Beast;unaligned;12;3;6;-2;15;2;10;0;2;-4;14;2;7;-2;passive Perception 14;;0;0;0;0;0;0;0;10;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/eagle.jpg;eagle.jpg
94;Earth Elemental;Large;Elemental;neutral;17;126;20;5;8;-1;20;5;5;-3;10;0;5;-3;Darkvision 60 Ft., Tremorsense 60 Ft., passive Perception 10;Terran;5;0;0;0;0;0;0;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/earth-elemental.jpg;earth-elemental.jpg
95;Efreeti;Large;Elemental;lawful evil;17;200;22;6;12;1;24;7;16;3;15;2;16;3;Darkvision 120 Ft., passive Perception 12;Ignan;11;0;0;0;7;6;7;40;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/efreeti.jpg;efreeti.jpg
96;Elephant;Huge;Beast;unaligned;12;76;22;6;9;-1;17;3;3;-4;11;0;6;-2;;;4;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
97;Elk;Large;Beast;unaligned;10;13;16;3;10;0;12;1;2;-4;10;0;6;-2;;;1/4;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
98;Erinyes;Medium;Fiend (devil);lawful evil;18;153;18;4;16;3;18;4;14;2;14;2;18;4;Truesight 120 Ft., passive Perception 12;Infernal, Telepathy 120 Ft.;12;0;7;8;0;6;8;30;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/erinyes.jpg;erinyes.jpg
99;Ettercap;Medium;Monstrosity;neutral evil;13;44;14;2;15;2;13;1;7;-2;12;1;8;-1;Darkvision 60 Ft., passive Perception 13;;2;0;0;0;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ettercap.jpg;ettercap.jpg
100;Ettin;Large;Giant;chaotic evil;12;85;21;5;8;-1;17;3;6;-2;10;0;8;-1;Darkvision 60 Ft., passive Perception 14;Giant, Orc;4;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ettin.jpg;ettin.jpg
101;Fire Elemental;Large;Elemental;neutral;13;102;10;0;17;3;16;3;6;-2;10;0;7;-2;Darkvision 60 Ft., passive Perception 10;Ignan;5;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/fire-elemental.jpg;fire-elemental.jpg
102;Fire Giant;Huge;Giant;lawful evil;18;162;25;7;9;-1;23;6;10;0;14;2;13;1;passive Perception 16;Giant;9;0;3;10;0;0;5;30;0;0;0;0;0;0;6;0;0;0;0;0;0;0;11;0;https://www.aidedd.org/dnd/images/fire-giant.jpg;fire-giant.jpg
103;Flesh Golem;Medium;Construct;neutral;9;93;19;4;9;-1;18;4;6;-2;10;0;5;-3;Darkvision 60 Ft., passive Perception 10;Understands The Languages Of Its Creator But Can't Speak;5;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/flesh-golem.jpg;flesh-golem.jpg
104;Flying Snake;Tiny;Beast;unaligned;14;5;4;-3;18;4;11;0;2;-4;12;1;5;-3;;;1/8;0;0;0;0;0;0;30;30;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/flying-snake.jpg;flying-snake.jpg
105;Flying Sword;Small;Construct;unaligned;17;17;12;1;15;2;11;0;1;-5;5;-3;1;-5;Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 7;;1/4;0;4;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/flying-sword.jpg;flying-sword.jpg
106;Frog;Tiny;Beast;unaligned;11;1;1;-5;13;1;8;-1;1;-5;8;-1;3;-4;Darkvision 30 Ft., passive Perception 11;;0;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/frog.jpg;frog.jpg
107;Frost Giant;Huge;Giant;neutral evil;15;138;23;6;9;-1;21;5;9;-1;10;0;12;1;passive Perception 13;Giant;8;0;0;8;0;3;4;40;0;0;0;0;0;0;3;0;0;0;0;0;0;0;9;0;https://www.aidedd.org/dnd/images/frost-giant.jpg;frost-giant.jpg
108;Gargoyle;Medium;Elemental;chaotic evil;15;52;15;2;11;0;16;3;6;-2;11;0;7;-2;Darkvision 60 Ft., passive Perception 10;Terran;2;0;0;0;0;0;0;30;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/gargoyle.jpg;gargoyle.jpg
109;Gelatinous Cube;Large;Ooze;unaligned;6;84;14;2;3;-4;20;5;1;-5;6;-2;1;-5;Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8;;2;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/gelatinous-cube.jpg;gelatinous-cube.jpg
110;Ghast;Medium;Undead;chaotic evil;13;36;16;3;17;3;10;0;11;0;10;0;8;-1;Darkvision 60 Ft., passive Perception 10;Common;2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ghast.jpg;ghast.jpg
111;Ghost;Medium;Undead;any alignment;11;45;7;-2;13;1;10;0;10;0;12;1;17;3;Darkvision 60 Ft., passive Perception 11;Any Languages It Knew In Life;4;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ghost.jpg;ghost.jpg
112;Ghoul;Medium;Undead;chaotic evil;12;22;13;1;15;2;10;0;7;-2;10;0;6;-2;Darkvision 60 Ft., passive Perception 10;Common;1;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/ghoul.jpg;ghoul.jpg
113;Giant Ape;Huge;Beast;unaligned;12;157;23;6;14;2;18;4;7;-2;12;1;7;-2;passive Perception 14;;7;0;0;0;0;0;0;40;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;;
114;Giant Badger;Medium;Beast;unaligned;10;13;13;1;10;0;15;2;2;-4;12;1;5;-3;;;1/4;0;0;0;0;0;0;30;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;
115;Giant Bat;Large;Beast;unaligned;13;22;15;2;16;3;11;0;2;-4;12;1;6;-2;;;1/4;0;0;0;0;0;0;10;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
116;Giant Boar;Large;Beast;unaligned;12;42;17;3;10;0;16;3;2;-4;7;-2;5;-3;;;2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
117;Giant Centipede;Small;Beast;unaligned;13;4;5;-3;14;2;12;1;1;-5;7;-2;3;-4;;;1/4;0;0;0;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;;
118;Giant Constrictor Snake;Huge;Beast;unaligned;12;60;19;4;14;2;12;1;1;-5;10;0;3;-4;Blindsight 10 Ft., passive Perception 12;;2;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
119;Giant Crab;Medium;Beast;unaligned;15;13;13;1;15;2;11;0;1;-5;9;-1;3;-4;Blindsight 30 Ft., passive Perception 9;;1/8;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
120;Giant Crocodile;Huge;Beast;unaligned;14;85;21;5;9;-1;17;3;2;-4;10;0;7;-2;passive Perception 10;;5;0;0;0;0;0;0;30;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
121;Giant Eagle;Large;Beast;neutral good;13;26;16;3;17;3;13;1;8;-1;14;2;10;0;passive Perception 14;Giant Eagle, Understands Common And Auran But Can't Speak;1;0;0;0;0;0;0;10;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
122;Giant Elk;Huge;Beast;unaligned;14;42;19;4;16;3;14;2;7;-2;14;2;10;0;passive Perception 14;Giant Elk, Understands Common, Elvish, And Sylvan But Can't Speak;2;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
123;Giant Fire Beetle;Small;Beast;unaligned;13;4;8;-1;10;0;12;1;1;-5;7;-2;3;-4;;;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/giant-fire-beetle.jpg;giant-fire-beetle.jpg
124;Giant Frog;Medium;Beast;unaligned;11;18;12;1;13;1;11;0;2;-4;10;0;3;-4;Darkvision 30 Ft., passive Perception 12;;1/4;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
125;Giant Goat;Large;Beast;unaligned;11;19;17;3;11;0;12;1;3;-4;12;1;6;-2;;;1/2;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
126;Giant Hyena;Large;Beast;unaligned;12;45;16;3;14;2;14;2;2;-4;12;1;7;-2;passive Perception 13;;1;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
127;Giant Lizard;Large;Beast;unaligned;12;19;15;2;12;1;13;1;2;-4;10;0;5;-3;;;1/4;0;0;0;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;;
128;Giant Octopus;Large;Beast;unaligned;11;52;17;3;13;1;13;1;4;-3;10;0;4;-3;Darkvision 60 Ft., passive Perception 14;;1;0;0;0;0;0;0;10;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/octopus.jpg;octopus.jpg
129;Giant Owl;Large;Beast;neutral;12;19;13;1;15;2;12;1;8;-1;13;1;10;0;Darkvision 120 Ft., passive Perception 15;Giant Owl, Understands Common, Elvish, And Sylvan But Can't Speak;1/4;0;0;0;0;0;0;5;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
130;Giant Poisonous Snake;Medium;Beast;unaligned;14;11;10;0;18;4;13;1;2;-4;10;0;3;-4;Blindsight 10 Ft., passive Perception 12;;1/4;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
131;Giant Rat;Small;Beast;unaligned;12;7;7;-2;15;2;11;0;2;-4;10;0;4;-3;;;1/8;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
132;Giant Scorpion;Large;Beast;unaligned;15;52;15;2;13;1;15;2;1;-5;9;-1;3;-4;;;3;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
133;Giant Sea Horse;Large;Beast;unaligned;13;16;12;1;15;2;11;0;2;-4;12;1;5;-3;;;1/2;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
134;Giant Shark;Huge;Beast;unaligned;13;126;23;6;11;0;21;5;1;-5;10;0;5;-3;Blindsight 60 Ft., passive Perception 13;;5;0;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
135;Giant Spider;Large;Beast;unaligned;14;26;14;2;16;3;12;1;2;-4;11;0;4;-3;Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 10;;1;0;0;0;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/giant-spider.jpg;giant-spider.jpg
136;Giant Toad;Large;Beast;unaligned;11;39;15;2;13;1;13;1;2;-4;10;0;3;-4;;;1;0;0;0;0;0;0;20;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
137;Giant Vulture;Large;Beast;neutral evil;10;22;15;2;10;0;15;2;6;-2;12;1;7;-2;passive Perception 13;Understands Common But Can't Speak;1;0;0;0;0;0;0;10;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
138;Giant Wasp;Medium;Beast;unaligned;12;13;10;0;14;2;10;0;1;-5;10;0;3;-4;;;1/2;0;0;0;0;0;0;10;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
139;Giant Weasel;Medium;Beast;unaligned;13;9;11;0;16;3;10;0;4;-3;12;1;5;-3;Darkvision 60 Ft., passive Perception 13;;1/8;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
140;Giant Wolf Spider;Medium;Beast;unaligned;13;11;12;1;16;3;13;1;3;-4;12;1;4;-3;Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 13;;1/4;0;0;0;0;0;0;40;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;;
141;Gibbering Mouther;Medium;Aberration;neutral;9;67;10;0;8;-1;16;3;3;-4;10;0;6;-2;Darkvision 60 Ft., passive Perception 10;;2;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/gibbering-mouther.jpg;gibbering-mouther.jpg
142;Glabrezu;Large;Fiend (demon);chaotic evil;17;157;20;5;15;2;21;5;19;4;17;3;16;3;Truesight 120 Ft., passive Perception 13;Abyssal, Telepathy 120 Ft.;9;9;0;9;0;7;7;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/demon-glabrezu.jpg;demon-glabrezu.jpg
143;Gladiator;Medium;Humanoid (any race);any alignment;16;112;18;4;15;2;16;3;10;0;12;1;15;2;passive Perception 11;Any One Language (Usually Common);5;7;5;6;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;;
144;Gnoll;Medium;Humanoid (gnoll);chaotic evil;15;22;14;2;12;1;11;0;6;-2;10;0;7;-2;;Gnoll;1/2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/gnoll.jpg;gnoll.jpg
145;Goat;Medium;Beast;unaligned;10;4;12;1;10;0;11;0;2;-4;10;0;5;-3;;;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
146;Goblin;Small;Humanoid (goblinoid);neutral evil;15;7;8;-1;14;2;10;0;10;0;8;-1;8;-1;Darkvision 60 Ft., passive Perception 9;Common, Goblin;1/4;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/goblin.jpg;goblin.jpg
147;Gold Dragon Wyrmling;Medium;Dragon;lawful good;17;60;19;4;14;2;17;3;14;2;11;0;16;3;Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14;Draconic;3;0;4;5;0;2;5;30;30;60;0;0;0;0;4;4;0;0;0;0;0;0;0;0;;
148;Gorgon;Large;Monstrosity;unaligned;19;114;20;5;11;0;18;4;2;-4;12;1;7;-2;Darkvision 60 Ft., passive Perception 14;;5;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.aidedd.org/dnd/images/gorgon.jpg;gorgon.jpg
